"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Area
Laos,143710.0,224.0,628.0,2.0,7660.0,,135422.0,,19286.0,84.0,1002806.0,134574.0,7451681.0,Asia
Iceland,140929.0,2049.0,68.0,,75685.0,,65176.0,3.0,408562.0,197.0,1782357.0,5167166.0,344939.0,Europe
Cambodia,131738.0,366.0,3038.0,5.0,125536.0,507.0,3164.0,,7702.0,178.0,2871758.0,167890.0,17104971.0,Asia
Rwanda,129548.0,5.0,1458.0,,45522.0,,82568.0,1.0,9605.0,108.0,4891170.0,362645.0,13487484.0,Africa
Trinidad and Tobago,129321.0,345.0,3649.0,7.0,103933.0,1197.0,21739.0,18.0,91909.0,2593.0,636623.0,452452.0,1407051.0,North America
Jamaica,128142.0,34.0,2825.0,10.0,78146.0,286.0,47171.0,25.0,42961.0,947.0,859477.0,288150.0,2982737.0,North America
Guadeloupe,126642.0,,837.0,,2250.0,,123555.0,19.0,316417.0,2091.0,938039.0,2343703.0,400238.0,North America
Cameroon,119322.0,,1926.0,,117263.0,,133.0,13.0,4316.0,70.0,1751774.0,63361.0,27647477.0,Africa
Martinique,115951.0,,895.0,,104.0,,114952.0,10.0,309385.0,2388.0,707420.0,1887566.0,374779.0,North America
Angola,98796.0,50.0,1900.0,,96738.0,58.0,158.0,,2858.0,55.0,1436142.0,41543.0,34570018.0,Africa
DRC,86154.0,16.0,1335.0,,50930.0,,33889.0,,916.0,14.0,846704.0,8998.0,94099155.0,Africa
Senegal,85739.0,10.0,1961.0,1.0,83695.0,12.0,83.0,3.0,4905.0,112.0,1019319.0,58315.0,17479459.0,Africa
Malawi,85396.0,13.0,2617.0,,76004.0,90.0,6775.0,67.0,4280.0,131.0,549568.0,27542.0,19954002.0,Africa
Ivory Coast,81534.0,11.0,795.0,1.0,80220.0,88.0,519.0,,2968.0,29.0,1425886.0,51912.0,27467251.0,Africa
Brunei,80749.0,4215.0,135.0,,43177.0,2395.0,37437.0,,181675.0,304.0,717784.0,1614925.0,444469.0,Asia
Suriname,78394.0,41.0,1317.0,,49362.0,3.0,27715.0,3.0,131665.0,2212.0,229911.0,386144.0,595403.0,South America
French Guiana,77782.0,17.0,393.0,1.0,11254.0,,66135.0,5.0,249631.0,1261.0,597622.0,1917988.0,311588.0,South America
Malta,71679.0,98.0,607.0,,69860.0,72.0,1212.0,3.0,161619.0,1369.0,1211456.0,2731550.0,443505.0,Europe
Eswatini,69290.0,32.0,1391.0,,67739.0,28.0,160.0,11.0,58710.0,1179.0,480910.0,407479.0,1180207.0,Africa
French Polynesia,68425.0,,642.0,,,,,7.0,241258.0,2264.0,,,283618.0,Australia/Oceania
